Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
003080,KOSPI,성보화학,"비료, 농약 및 살균, 살충제 제조업","완제농약(해비치과립,카스텔란),원제농약(슈퍼유나니,다이아톤) 제조,도매",1976-12-23,12월,윤정선,http://www.sbcc.kr,경기도
004980,KOSPI,성신양회,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트,레미콘 제조",1976-06-30,12월,"김영준, 김상규",http://www.sungshincement.co.kr,서울특별시
004985,KOSPI,성신양회우,,,,,,,
011300,KOSPI,성안,직물직조 및 직물제품 제조업,"제직,염색,폴리에스터직물,자수직물봉제 제조,판매/임대료,관리비 수입",1995-11-10,12월,박상태,http://www.startex.co.kr,대구광역시
000180,KOSPI,성창기업지주,회사 본부 및 경영 컨설팅 서비스업,"합판, 마루, 파티클보드, 우드칩, 포르말린 등 제조",1976-06-02,12월,우인석,http://www.sce.kr,부산광역시
002420,KOSPI,세기상사,"영화, 비디오물, 방송프로그램 제작 및 배급업","극장(영화상영)/극영화,만화영화 제조/음식료품,일용잡화 소매/부동산 임대",1968-12-27,12월,김정희,http://daehancinema.com,서울특별시
004360,KOSPI,세방,도로 화물 운송업,"도로운송,항만하역,창고,지게차 임대",1977-05-19,12월,최종일,http://www.sebang.com,부산광역시
004365,KOSPI,세방우,,,,,,,
004490,KOSPI,세방전지,일차전지 및 축전지 제조업,"자동차용 및 산업용 축전지(연축전지) 제조,판매",1987-11-28,12월,"대표이사 원성연, 대표이사 차주호",http://www.gbattery.com,서울특별시
001430,KOSPI,세아베스틸,1차 철강 제조업,"특수강,철도용품,자동차부품 제조,수출입",1991-03-12,12월,"김철희, 박준두",http://www.seahbesteel.co.kr,서울특별시
306200,KOSPI,세아제강,1차 철강 제조업,강관,2018-10-05,12월,"이휘령, 김석일",http://www.seahsteel.co.kr,서울특별시
003030,KOSPI,세아제강지주,기타 금융업,경영컨설팅업,1969-05-13,12월,"이순형, 남형근",http://www.seahsteel.co.kr/company/holdings/,서울특별시
019440,KOSPI,세아특수강,1차 철강 제조업,"냉간압조용선재,마봉강,스테인레스봉강 제조",2011-06-01,12월,서영범,http://www.seahsp.co.kr,경상북도
058650,KOSPI,세아홀딩스,1차 철강 제조업,지주회사/투자 및 경영컨설팅/부동산 임대,2001-07-30,12월,"이태성, 천정철",http://www.seahholdings.co.kr,서울특별시
013000,KOSPI,세우글로벌,기타 전문 도매업,"화공약품.엔지니어링 플라스틱,페놀계제품,석유화학제품 판매/철재가구,사무목재가구 제조/교육사업",1989-09-05,12월,안백순,http://www.sewoo21.co.kr,인천광역시
091090,KOSPI,세원셀론텍,"구조용 금속제품, 탱크 및 증기발생기 제조업","화학플랜트 설비,기계 제작(음식료,석유화학사업관련)/유공압기기 판매",2006-07-31,12월,"유승주, 이종인 (공동 대표이사)",http://sewoncellontech.com,서울특별시
021820,KOSPI,세원정공,자동차 신품 부품 제조업,"자동차부품(차체류,램프류) 제조",1996-07-03,06월,"김문기, 김상현",http://www.se-won.co.kr,대구광역시
067830,KOSPI,세이브존I&C,종합 소매업,"대형할인점(백화점)/부동산 임대/주차장,문화센터 운영",2002-07-25,12월,김현동,http://www.savezone.co.kr,서울특별시
033530,KOSPI,세종공업,자동차 신품 부품 제조업,"자동차부품,자동차소음기(머플러),배기가스정화기,배기계통부품 제조",2002-09-25,12월,"박정길, 김기홍, 김익석 (각자 대표이사)",http://www.sjku.co.kr,울산광역시
075580,KOSPI,세진중공업,선박 및 보트 건조업,"선박 Deck House, LPG Tank, Upper Deck Unit, 해양플랜트 Living Quarter",2015-11-30,12월,최양환,http://www.sejinheavy.com,울산광역시
027970,KOSPI,세하,"펄프, 종이 및 판지 제조업","백판지,마니라판지,지류,하수처리기계 제조/상하수도설비공사,수질오염방지시설공사",1996-07-03,12월,"이제선, 안재호",http://www.seha.co.kr,대구광역시
145210,KOSPI,세화아이엠씨,특수 목적용 기계 제조업,"타이어 금형, 타이어 제조설비",2015-03-19,12월,손오동,http://www.saehwaimc.com,광주광역시
308170,KOSPI,센트랄모텍,자동차 신품 부품 제조업,"이너레이스, 오디 클러치보스, 로터샤프트, 슬리브기어, 컨트롤 암, 엑슬",2019-11-25,12월,"이종철, 강태룡",http://www.centralmotek.co.kr,울산광역시
012600,KOSPI,센트럴인사이트,일반 목적용 기계 제조업,"금융단말기(현금자동입출금기,온라인단말기),통신기기 제조,판매",1990-07-10,12월,"대표이사 김진섭, 대표이사 엄상진(각자대표)",http://www.chunghocomnet.com,서울특별시
068270,KOSPI,셀트리온,기초 의약물질 및 생물학적 제제 제조업,"램시마, 트룩시마, 허쥬마",2018-02-09,12월,기우성,http://www.celltrion.com,인천광역시
336370,KOSPI,솔루스첨단소재,전자부품 제조업,"동박, 유압기기 등",2019-10-18,12월,"진대제, 이윤석",http://www.solusadvancedmaterials.com,전라북도
33637K,KOSPI,솔루스첨단소재1우,,,,,,,
33637L,KOSPI,솔루스첨단소재2우B,,,,,,,
248070,KOSPI,솔루엠,전자부품 제조업,"POWER, 3in1 Board, ESL 등",2021-02-02,12월,전성호,http://www.solu-m.com,경기도
004430,KOSPI,송원산업,기타 화학제품 제조업,"폴리머첨가제(PVC안정제,산화방지제),폴리우레탄수지,프라스틱첨가제 제조",1977-06-25,12월,김충식 대표이사,http://www.songwon.com,울산광역시
017550,KOSPI,수산중공업,특수 목적용 기계 제조업,"유압브레이커,트럭크레인,플라즈마 파암장비,특장차,산업기계,건설기계 제조,도매",1991-08-30,12월,김병현,http://www.soosan.co.kr,경기도
053210,KOSPI,스카이라이프,텔레비전 방송업,위성방송서비스,2011-06-03,12월,김철수,http://www.ktskylife.co.kr,서울특별시
134790,KOSPI,시디즈,가구 제조업,의자,2011-01-25,12월,대표이사 이상배,http://www.sidiz.com,경기도
016590,KOSPI,신대양제지,"골판지, 종이 상자 및 종이용기 제조업","골판지용 골심지,라이너지 제조,수출입",1995-12-21,12월,"권혁홍, 권택환 각자대표",http://www.dygroup.co.kr,경기도
029530,KOSPI,신도리코,컴퓨터 및 주변장치 제조업,"복사기,팩시밀리,프린터,주변기기 제조,판매",1996-12-24,12월,"황성식, 권오성",http://www.sindo.co.kr,서울특별시
004970,KOSPI,신라교역,어로 어업,"원양어업(참치,명태,휠레트,연육,명란,새우),어획물 판매/직물 수출",1976-06-30,12월,"이광세, 홍성호 (각자 대표이사)",http://www.sla.co.kr,서울특별시
011930,KOSPI,신성이엔지,반도체 제조업,"태양전지, 태양광모듈 제조 및 판매, 태양광 발전설치공사, 클린룸, 자동화장비",1996-07-31,12월,"이지선, 안윤수",http://www.shinsungeng.com,경기도
01193219,KOSPI,신성이엔지 37WR,,,,,,,
005390,KOSPI,신성통상,기타 전문 도매업,"의류,악세사리(모자,벨트,가방) 도매/의류 제조",1975-12-22,06월,대표이사 염태순,http://www.ssts.co.kr,서울특별시
004170,KOSPI,신세계,종합 소매업,"백화점,할인점(E마트)",1985-08-19,12월,차정호,http://www.shinsegae.com,서울특별시
035510,KOSPI,신세계 I&C,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT시스템 개발, 운영 및 유지보수, IT 컨설팅, IT장비솔루션 총판, 아웃소싱, IDC, IT기기 및 휴대폰 유통, 전자상품권",2006-05-18,12월,손정현,http://www.shinsegae-inc.com,서울특별시
034300,KOSPI,신세계건설,건물 건설업,"토목,건축,건축관련기술서비스,빌딩관리용역,골프장,내장공사,시설개보수,설계용역",2002-06-17,12월,윤명규,http://httpswww.shinsegae-enc.com,서울특별시
031430,KOSPI,신세계인터내셔날,"섬유, 의복, 신발 및 가죽제품 소매업","섬유, 의복, 신발 및 가죽제품 소매",2011-07-14,12월,"장재영, 이길한, 손문국 (각자대표)",http://www.sikorea.co.kr,서울특별시
031440,KOSPI,신세계푸드,음식점업,"단체급식, 식자재유통, 외식",2010-04-29,12월,"김운아, 성열기(각자대표)",http://www.shinsegaefood.com,서울특별시
006880,KOSPI,신송홀딩스,산업용 농·축산물 및 동·식물 도매업,사업경영 및 관리자문,2013-11-21,12월,조갑주,http://www.singsongholdings.com,서울특별시
005800,KOSPI,신영와코루,봉제의복 제조업,"여성용 내의류(화운데이션,란제리,블래지어),환자,노령자용 파자마,남성용 내의류 제조",1976-12-28,12월,"이의평, 이성원",http://www.shinyoungwacoal.co.kr/,서울특별시
001720,KOSPI,신영증권,금융 지원 서비스업,증권업,1987-08-24,03월,"원종석, 황성엽",http://www.shinyoung.com,서울특별시
001725,KOSPI,신영증권우,,,,,,,
009270,KOSPI,신원,봉제의복 제조업,"여성,남성의류,스웨터,의복관련 악세사리,사카린,망초 제조,판매,수출입/섬유의류 도매/신용카드업/의류전문 물류대행 및 임대사업",1988-08-24,12월,박정주,http://www.sw.co.kr,서울특별시
009275,KOSPI,신원우,,,,,,,
002700,KOSPI,신일전자,기계장비 및 관련 물품 도매업,"가정용 전기기구(선풍기,난로,세탁기),전자기구,연구기구 제조,수출입",1975-09-30,12월,정윤석,http://www.shinil.co.kr,충청남도
019170,KOSPI,신풍제약,의약품 제조업,"의약품(항생제,혈전용해제,향정신성약품,구충제) 제조,판매",1990-01-20,12월,유 제 만,http://www.shinpoong.co.kr,경기도
019175,KOSPI,신풍제약우,,,,,,,
002870,KOSPI,신풍제지,"펄프, 종이 및 판지 제조업","마닐라판지 제조,도소매",1976-06-30,12월,정학헌,http://www.shinpoongpaper.com,서울특별시
500052,KOSPI,신한 FnGuide 5G 테마주 ETN,,,,,,,
500001,KOSPI,신한 K200 USD 선물 바이셀 ETN,,,,,,,
500045,KOSPI,신한 S&P500 VIX S/T 선물 ETN B,,,,,,,
500002,KOSPI,신한 USD K200 선물 바이셀 ETN,,,,,,,
500015,KOSPI,신한 WTI원유 선물 ETN(H),,,,,,,
500018,KOSPI,신한 구리 선물 ETN(H),,,,,,,
500016,KOSPI,신한 금 선물 ETN(H),,,,,,,
500009,KOSPI,신한 다우존스지수 선물 ETN(H),,,,,,,
500011,KOSPI,신한 달러인덱스 선물 ETN(H),,,,,,,
500056,KOSPI,신한 레버리지 Russell 2000 ETN,,,,,,,
500050,KOSPI,신한 레버리지 S&P500 선물 ETN,,,,,,,
500019,KOSPI,신한 레버리지 WTI원유 선물 ETN(H),,,,,,,
500040,KOSPI,신한 레버리지 구리 선물 ETN,,,,,,,
500037,KOSPI,신한 레버리지 금 선물 ETN,,,,,,,
500020,KOSPI,신한 레버리지 다우존스지수 선물 ETN(H),,,,,,,
500035,KOSPI,신한 레버리지 미국달러 선물 ETN,,,,,,,
500029,KOSPI,신한 레버리지 은 선물 ETN(H),,,,,,,
500053,KOSPI,신한 레버리지 천연가스 선물 ETN,,,,,,,
500004,KOSPI,신한 브렌트원유 선물 ETN(H),,,,,,,
500013,KOSPI,신한 옥수수 선물 ETN(H),,,,,,,
500017,KOSPI,신한 은 선물 ETN(H),,,,,,,
500057,KOSPI,신한 인버스 2X Russell 2000 ETN,,,,,,,
500051,KOSPI,신한 인버스 2X S&P500 선물 ETN,,,,,,,
500027,KOSPI,신한 인버스 2X WTI원유 선물 ETN(H),,,,,,,
500041,KOSPI,신한 인버스 2X 구리 선물 ETN,,,,,,,
500038,KOSPI,신한 인버스 2X 금 선물 ETN,,,,,,,
500028,KOSPI,신한 인버스 2X 다우존스지수 선물 ETN(H),,,,,,,
500036,KOSPI,신한 인버스 2X 미국달러 선물 ETN,,,,,,,
500030,KOSPI,신한 인버스 2X 은 선물 ETN(H),,,,,,,
500054,KOSPI,신한 인버스 2X 천연가스 선물 ETN,,,,,,,
500032,KOSPI,신한 인버스 2X 천연가스 선물 ETN(H),,,,,,,
500055,KOSPI,신한 인버스 Russell 2000 ETN,,,,,,,
500003,KOSPI,신한 인버스 WTI원유 선물 ETN(H),,,,,,,
500008,KOSPI,신한 인버스 구리 선물 ETN(H),,,,,,,
500006,KOSPI,신한 인버스 금 선물 ETN(H),,,,,,,
500010,KOSPI,신한 인버스 다우존스지수 선물 ETN(H),,,,,,,
500012,KOSPI,신한 인버스 달러인덱스 선물 ETN(H),,,,,,,
500005,KOSPI,신한 인버스 브렌트원유 선물 ETN(H),,,,,,,
500014,KOSPI,신한 인버스 옥수수 선물 ETN(H),,,,,,,
500007,KOSPI,신한 인버스 은 선물 ETN(H),,,,,,,
500022,KOSPI,신한 인버스 천연가스 선물 ETN(H),,,,,,,
500024,KOSPI,신한 인버스 콩 선물 ETN(H),,,,,,,
500021,KOSPI,신한 천연가스 선물 ETN(H),,,,,,,
500046,KOSPI,신한 코스피 월별 양매도 3% OTM ETN,,,,,,,
500048,KOSPI,신한 코스피 월별 양매도 3% 콜 2206-1 ETN,,,,,,,
500047,KOSPI,신한 코스피 월별 양매도 5% OTM ETN,,,,,,,
500049,KOSPI,신한 코스피 월별 양매도 5% 콜 2206-1 ETN,,,,,,,
500039,KOSPI,신한 코스피 콘도르 4/10% ETN,,,,,,,
500043,KOSPI,신한 코스피 콘도르 4/10% 콜 2204-01 ETN,,,,,,,
500042,KOSPI,신한 코스피 콘도르 6/10% ETN,,,,,,,
500044,KOSPI,신한 코스피 콘도르 6/10% 콜 2204-01 ETN,,,,,,,
500023,KOSPI,신한 콩 선물 ETN(H),,,,,,,
50F011,KOSPI,신한F011삼성전자콜,,,,,,,
50F017,KOSPI,신한F017삼성바이콜,,,,,,,
50F018,KOSPI,신한F018삼성바이콜,,,,,,,
50F019,KOSPI,신한F019카카오콜,,,,,,,
50F021,KOSPI,신한F021네이버콜,,,,,,,
50F022,KOSPI,신한F022네이버콜,,,,,,,
50F025,KOSPI,신한F025삼성전자콜,,,,,,,
50F027,KOSPI,신한F027LG화학콜,,,,,,,
50F029,KOSPI,신한F029현대차콜,,,,,,,
50F030,KOSPI,신한F030현대차콜,,,,,,,
50F031,KOSPI,신한F031삼성바이콜,,,,,,,
50F033,KOSPI,신한F033한국전력콜,,,,,,,
50F035,KOSPI,신한F035SK하이닉콜,,,,,,,
